Threshold,False Negatives,False Positives,Expected Cost
0.095,14,469,140350
0.09741776315789474,14,466,139900
0.0975,14,465,139750
0.09766514244336014,14,462,139300
0.09784919660872378,14,461,139150
0.09882038355143691,14,460,139000
0.09882092952088806,14,459,138850
0.09883617751680752,14,458,138700
0.09947177748771517,14,457,138550
0.1,14,456,138400
0.1000121906216616,14,453,137950
0.10019732535912684,14,452,137800
0.10146230174185465,14,451,137650
0.10168813829071516,14,450,137500
0.10190223056076714,14,449,137350
0.10212500000000001,14,448,137200
0.10247455118411003,14,447,137050
0.1025,14,446,136900
0.10426185297946584,14,441,136150
0.1046802203931199,14,440,136000
0.10477093782323071,14,439,135850
0.105,14,438,135700
0.10514190469576137,14,435,135250
0.10518219341038149,15,435,140250
0.10541669672138677,15,434,140100
0.10653811985554296,15,433,139950
0.10720256081924492,15,432,139800
0.1075,15,431,139650
0.10767811603518879,15,430,139500
0.10843482905982907,15,429,139350
0.10899125010758198,15,428,139200
0.1101902286902287,15,427,139050
0.11077452579660324,15,426,138900
0.11187024425807715,15,425,138750
0.112125,15,424,138600
0.11230000000000001,15,423,138450
0.11239977577364149,15,422,138300
0.1125,15,421,138150
0.11331170801599645,16,418,142700
0.11350150119393065,16,417,142550
0.11404436841688195,16,416,142400
0.11428320996021796,16,415,142250
0.11491776315789475,16,414,142100
0.11496376811594203,16,413,141950
0.11509784511355199,16,412,141800
0.1152768147850911,16,411,141650
0.11540920147391186,16,410,141500
0.11564285714285714,17,410,146500
0.11604626252484734,17,409,146350
0.11606456349350573,17,408,146200
0.11618347408091895,17,407,146050
0.11743243243243243,17,406,145900
0.1175,17,405,145750
0.11750362989839587,17,404,145600
0.1185565200882281,17,403,145450
0.11918889578163772,18,403,150450
0.11938955299965913,18,402,150300
0.1196526720311812,18,401,150150
0.11967512376237624,18,400,150000
0.11971080780220283,18,399,149850
0.12,18,398,149700
0.12027190244703373,18,395,149250
0.12062745849326698,18,394,149100
0.12064151480059145,18,393,148950
0.1225,18,392,148800
0.12446735769751859,18,391,148650
0.1247184278532115,18,390,148500
0.12485294117647058,18,389,148350
0.125,18,388,148200
0.12578468406616128,18,385,147750
0.12594356589489664,18,384,147600
0.12632601452809727,18,383,147450
0.12726998641655105,18,382,147300
0.1275,19,382,152300
0.12801987041767457,19,379,151850
0.12864874303078505,20,379,156850
0.12899131023855037,20,378,156700
0.1298,20,377,156550
0.13,20,376,156400
0.13122126345385693,20,374,156100
0.13142455340760142,20,373,155950
0.13229888672231743,20,372,155800
0.1325,20,371,155650
0.13286453776466012,20,370,155500
0.13414250279879256,21,370,160500
0.13434078911259054,21,369,160350
0.13450058518254818,21,368,160200
0.13472222222222222,21,367,160050
0.135,21,366,159900
0.13552533836457759,21,363,159450
0.13581472586846352,21,362,159300
0.13593599523805813,21,361,159150
0.1361233352976904,21,360,159000
0.13615014180412405,21,359,158850
0.13659484976471364,21,358,158700
0.1371943246638591,21,357,158550
0.1375,21,356,158400
0.13782715099471352,21,354,158100
0.13808254099842113,21,353,157950
0.13871712441409934,21,352,157800
0.138971298080042,21,351,157650
0.139765625,21,350,157500
0.14,21,349,157350
0.14157462822973796,21,346,156900
0.1420109259644453,21,345,156750
0.1425,21,344,156600
0.14251074436606626,21,342,156300
0.14280291579439713,21,341,156150
0.14398384301271575,22,341,161150
0.14491529436877168,22,340,161000
0.145,22,339,160850
0.145631051644799,22,338,160700
0.14659030134528295,22,337,160550
0.14724724401505848,22,336,160400
0.1475,22,335,160250
0.14804438211700804,22,333,159950
0.14822916666666666,22,332,159800
0.14938318155947639,22,331,159650
0.1494188173139286,22,330,159500
0.14953588546917357,22,329,159350
0.15,23,329,164350
0.15004639821350732,23,327,164050
0.15030002545501842,24,327,169050
0.15049750903867845,24,326,168900
0.15059523809523812,24,325,168750
0.1507313521998994,24,324,168600
0.15140647858792738,24,323,168450
0.15195913461538463,25,323,173450
0.1525,25,322,173300
0.15299524560582362,25,319,172850
0.15343747423063275,25,318,172700
0.15350001777560862,25,317,172550
0.155,25,316,172400
0.1550749845405054,25,314,172100
0.15508435213162441,25,313,171950
0.15521109842427888,25,312,171800
0.15551068749387445,25,311,171650
0.155635520855682,25,310,171500
0.15582710136990197,25,309,171350
0.1559599939559891,26,309,176350
0.15608329293797524,26,308,176200
0.1568141902736886,26,307,176050
0.15750816596238662,27,307,181050
0.15867431058046758,27,306,180900
0.15947259121414262,28,306,185900
0.1595238095238095,28,305,185750
0.15960096743879496,28,304,185600
0.16084442158628115,29,304,190600
0.16097663373860185,29,303,190450
0.16139999980028744,29,302,190300
0.16168563926201115,29,301,190150
0.1625,29,300,190000
0.16255268199233716,29,299,189850
0.1648014442187197,29,298,189700
0.16503492656376062,29,297,189550
0.1677358887393111,29,296,189400
0.1681828562699782,29,295,189250
0.1683125,29,294,189100
0.16860523408852315,29,293,188950
0.16873916619389567,29,292,188800
0.169869510419871,29,291,188650
0.17,29,290,188500
0.17026645815558109,29,288,188200
0.17131287186341063,29,287,188050
0.17165438759410848,29,286,187900
0.17230008098101166,29,285,187750
0.17247503735289565,29,284,187600
0.1725,29,283,187450
0.1725972784106803,29,282,187300
0.17471819984243298,29,281,187150
0.1754427531521241,29,280,187000
0.17556780041527684,29,279,186850
0.17664731494920174,29,278,186700
0.177222643746526,29,277,186550
0.17731010646750356,29,276,186400
0.17840736257786077,29,275,186250
0.18,29,274,186100
0.1803235578901164,29,273,185950
0.18212499999999998,29,272,185800
0.1825,29,271,185650
0.18250780255114057,29,269,185350
0.18266916302918013,29,268,185200
0.18296250960061441,29,267,185050
0.1832036083421716,29,266,184900
0.18399494949494946,29,265,184750
0.1841260531408338,29,264,184600
0.18671588664722094,29,263,184450
0.18684521217003888,29,262,184300
0.18694612215244658,29,261,184150
0.18707481729069325,29,260,184000
0.1875,29,259,183850
0.1881285183960766,29,257,183550
0.18916513027536333,29,256,183400
0.18936454339806247,29,255,183250
0.18981667540814764,29,254,183100
0.18982088283468967,29,253,182950
0.19,29,252,182800
0.191967823886992,29,251,182650
0.1925,29,250,182500
0.1929924350743131,29,248,182200
0.1929998572326867,29,247,182050
0.19366016659187013,29,246,181900
0.1941967648968685,29,245,181750
